Année,Code département,département,circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,MITTERRAND (CIR),LECANUET (MRP),DE GAULLE (UNR),MARCILHACY (DVD),TIXIER-VIGNANCOUR (EXD),BARBU (DIV),KRIVINE (LCR),ROCARD (PSU),DUCLOS (PCF),DEFFERRE (SFIO),POMPIDOU (UDR),POHER (CD),DUCATEL (DIV),LAGUILLER (LO),MITTERRAND (PS),MULLER (MDSR),DUMONT (ECO),GISCARD D'ESTAING (RI),CHABAN-DELMAS (UDR),RENOUVIN (NAR),ROYER (DVD),LE PEN (FN),HERAUD (DIV),SEBAG (DIV),BOUCHARDEAU (PSU),MARCHAIS (PCF),CREPEAU (MRG),LALONDE (ECO),GISCARD D'ESTAING (UDF),CHIRAC (RPR),DEBRE (DVD),GARAUD (DVD),BOUSSEL (MPT),LAJOINIE (PCF),JUQUIN ( ),WAECHTER (V),BARRE (UDF),HUE (PCF),JOSPIN (PS),VOYNET (VERTS),BALLADUR (UDF),DE VILLIERS (MPF),CHEMINADE (POE),GLUCKSTEIN (PT),BESANCENOT (LCR),TAUBIRA (PRG),CHEVENEMENT (P. REP),MAMERE (VERTS),LEPAGE (CAP 21),BAYROU (UDF),MADELIN (DL),CHIRAC (UMP),BOUTIN (UDF DISS.),MEGRET (MNR),SAINT-JOSSE (CNPT),SCHIVARDI (PT),BOVE,BUFFET (PC),ROYAL (PS),SARKOZY (UMP),DE VILLIERS MPF),NIHOUS (CNPT),Nathalie ARTHAUD (LO),Philippe POUTOU (NPA),Jean-Luc MELENCHON (FG),François HOLLANDE (PS),Eva JOLY (EELV),François BAYROU (MODEM),Nicolas SARKOZY (UMP),Nicolas DUPONT-AIGNAN (DLR),Marine LE PEN (FN),Jacques CHEMINADE (SP),Emmanuel MACRON,Marine LE PEN,Jean-Luc MELANCHON,FranÃ§ois FILLON,BenoÃ®t HAMON,Nicolas DUPONT-AIGNAN,Jean LASSALLE,Philippe POUTOU,FranÃ§ois ASSELINEAU,Nathalie ARTHAUD,Jacques CHEMINADE,Fabien ROUSSEL,Ã‰ric ZEMMOUR,Anne HIDALGO,Yannick JADOT,ValÃ©rie PÃ‰CRESSE
1965,68,HERAULTHERAULT,3,146031,124249,123242,1007,44685.0,16867.0,41242.0,2453.0,16299.0,1696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,68,HERAULTHERAULT,3,155779,118757,117539,1218,0.0,0.0,0.0,0.0,0.0,0.0,1205.0,4283.0,24119.0,7120.0,49042.0,30376.0,1394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,68,HERAULTHERAULT,3,152386,128752,127713,1039,0.0,0.0,0.0,0.0,0.0,0.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.0,63801.0,498.0,1643.0,37094.0,16681.0,252.0,3154.0,1541.0,93.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,68,HERAULTHERAULT,3,237560,190813,188045,2768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3667.0,52549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2621.0,29612.0,3475.0,8118.0,50357.0,32000.0,3072.0,2574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,102,HERAULTHERAULTHERAULT,6,188857,152823,150626,2197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.0,46214.0,0.0,0.0,0.0,0.0,0.0,0.0,32776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28165.0,0.0,0.0,548.0,7878.0,4648.0,5706.0,22311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,102,HERAULTHERAULTHERAULT,6,218409,174341,170221,4120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11458.0,42479.0,6422.0,29231.0,6955.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,102,HERAULTHERAULTHERAULT,6,238441,176853,171948,4905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4156.0,29392.0,0.0,0.0,0.0,0.0,653.0,7035.0,4402.0,10320.0,11791.0,3232.0,11101.0,7223.0,27909.0,1602.0,4192.0,5985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,102,HERAULTHERAULTHERAULT,6,267105,228917,226407,2510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3677.0,0.0,0.0,0.0,0.0,7837.0,0.0,0.0,0.0,0.0,38345.0,0.0,0.0,0.0,0.0,0.0,732.0,3836.0,2927.0,64365.0,72942.0,3392.0,2177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,102,HERAULTHERAULTHERAULT,6,214475,173806,170935,2871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,1554.0,22596.0,51564.0,5480.0,13457.0,43540.0,2325.0,29440.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,102,HERAULTHERAULTHERAULT,6,230130,181968,178175,3793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43032.0,32433.0,44569.0,33811.0,12486.0,5856.0,1786.0,1460.0,1921.0,569.0,252.0,0.0,0.0,0.0,0.0,0.0
2022,102,HERAULTHERAULTHERAULT,6,230130,181968,178175,3793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45969.0,33319.0,55077.0,0.0,0.0,2861.0,4635.0,1195.0,0.0,625.0,0.0,3326.0,15635.0,3942.0,10682.0,7271.0
